job_title,experience_years,salary_mid,source_name
frontend engineer,2.0,67778.5,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,3.0,18000.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,8000.0,Kaggle_EgyTech_participants_data
qa / sdet engineer,1.0,17670.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,14500.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,45500.0,Kaggle_EgyTech_participants_data
full-stack engineer,3.0,13000.0,Kaggle_EgyTech_participants_data
qa / sdet engineer,3.0,36800.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,28000.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,22000.0,Kaggle_EgyTech_participants_data
frontend engineer,4.0,32000.0,Kaggle_EgyTech_participants_data
full-stack engineer,0.0,13000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,2.0,20000.0,Kaggle_EgyTech_participants_data
mobile development engineer,4.0,30000.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,12000.0,Kaggle_EgyTech_participants_data
mobile development engineer,1.0,18000.0,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,3.0,32000.0,Kaggle_EgyTech_participants_data
full-stack engineer,3.0,38320.0,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,8.0,44000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,6.0,51000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,16000.0,Kaggle_EgyTech_participants_data
mobile development engineer,6.0,42000.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,10400.0,Kaggle_EgyTech_participants_data
backend engineer,4.0,25350.0,Kaggle_EgyTech_participants_data
frontend engineer,2.0,28800.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,13000.0,Kaggle_EgyTech_participants_data
full-stack engineer,4.0,41457.0,Kaggle_EgyTech_participants_data
frontend engineer,2.0,18000.0,Kaggle_EgyTech_participants_data
full-stack engineer,9.0,103751.4,Kaggle_EgyTech_participants_data
devops / sre / platform,1.0,17550.0,Kaggle_EgyTech_participants_data
backend engineer,4.0,40000.0,Kaggle_EgyTech_participants_data
ai & automation engineer,1.0,17000.0,Kaggle_EgyTech_participants_data
full-stack engineer,3.0,50295.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,25000.0,Kaggle_EgyTech_participants_data
backend engineer,4.0,44000.0,Kaggle_EgyTech_participants_data
embedded systems engineer,3.0,56500.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,160000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,2.0,29370.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,36000.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,8000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,2.0,39000.0,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,3.0,10000.0,Kaggle_EgyTech_participants_data
"r&d engineer (computer vision, nlp, etc.)",1.0,57480.0,Kaggle_EgyTech_participants_data
technical support,1.0,11850.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,35925.0,Kaggle_EgyTech_participants_data
frontend engineer,3.0,12100.0,Kaggle_EgyTech_participants_data
backend engineer,0.0,4000.0,Kaggle_EgyTech_participants_data
"hardware engineer (semiconductors, digital design, electronics, etc)",5.0,92686.5,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,3.0,15750.0,Kaggle_EgyTech_participants_data
backend engineer,4.0,34000.0,Kaggle_EgyTech_participants_data
full-stack engineer,7.0,86220.0,Kaggle_EgyTech_participants_data
backend engineer,4.0,50000.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,18000.0,Kaggle_EgyTech_participants_data
embedded systems engineer,1.0,51492.5,Kaggle_EgyTech_participants_data
data analytics,1.0,15000.0,Kaggle_EgyTech_participants_data
mobile development engineer,2.0,15500.0,Kaggle_EgyTech_participants_data
product manager,3.0,97900.0,Kaggle_EgyTech_participants_data
full-stack engineer,7.0,50000.0,Kaggle_EgyTech_participants_data
full-stack engineer,4.0,38000.0,Kaggle_EgyTech_participants_data
frontend engineer,4.0,61975.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,19000.0,Kaggle_EgyTech_participants_data
mobile development engineer,2.0,24860.1,Kaggle_EgyTech_participants_data
backend engineer,3.0,31000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,2.0,28000.0,Kaggle_EgyTech_participants_data
backend engineer,5.0,49816.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,20500.0,Kaggle_EgyTech_participants_data
"r&d engineer (computer vision, nlp, etc.)",1.0,13000.0,Kaggle_EgyTech_participants_data
frontend engineer,6.0,39000.0,Kaggle_EgyTech_participants_data
engineering manager,8.0,167000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,11700.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,14600.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,28000.0,Kaggle_EgyTech_participants_data
product owner,4.0,57959.0,Kaggle_EgyTech_participants_data
full-stack engineer,11.0,158750.0,Kaggle_EgyTech_participants_data
product manager,6.0,112565.0,Kaggle_EgyTech_participants_data
full-stack engineer,6.0,62000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,41656.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,25500.0,Kaggle_EgyTech_participants_data
frontend engineer,3.0,22500.0,Kaggle_EgyTech_participants_data
full-stack engineer,3.0,50000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,43000.0,Kaggle_EgyTech_participants_data
data analytics,1.0,14000.0,Kaggle_EgyTech_participants_data
backend engineer,4.0,65000.0,Kaggle_EgyTech_participants_data
qa / sdet engineer,1.0,12000.0,Kaggle_EgyTech_participants_data
frontend engineer,2.0,20000.0,Kaggle_EgyTech_participants_data
full-stack engineer,0.0,15500.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,12000.0,Kaggle_EgyTech_participants_data
mobile development engineer,6.0,39000.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,18000.0,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,2.0,45500.0,Kaggle_EgyTech_participants_data
full-stack engineer,4.0,35000.0,Kaggle_EgyTech_participants_data
frontend engineer,1.0,17900.0,Kaggle_EgyTech_participants_data
data analytics,2.0,17000.0,Kaggle_EgyTech_participants_data
product owner,2.0,18202.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,10000.0,Kaggle_EgyTech_participants_data
frontend engineer,1.0,14000.0,Kaggle_EgyTech_participants_data
frontend engineer,1.0,10000.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,28740.0,Kaggle_EgyTech_participants_data
qa / sdet engineer,5.0,41416.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,41250.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,24000.0,Kaggle_EgyTech_participants_data
mobile development engineer,4.0,55085.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,30177.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,30177.0,Kaggle_EgyTech_participants_data
devops / sre / platform,1.0,23517.0,Kaggle_EgyTech_participants_data
devops / sre / platform,2.0,30500.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,16000.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,22000.0,Kaggle_EgyTech_participants_data
data engineer,1.0,15080.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,22000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,1.0,31230.0,Kaggle_EgyTech_participants_data
full-stack engineer,6.0,177230.0,Kaggle_EgyTech_participants_data
full-stack engineer,0.0,5000.0,Kaggle_EgyTech_participants_data
data scientist,1.0,10000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,3.0,57332.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,10000.0,Kaggle_EgyTech_participants_data
data scientist,3.0,57000.0,Kaggle_EgyTech_participants_data
embedded systems engineer,8.0,179625.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,67060.0,Kaggle_EgyTech_participants_data
devops / sre / platform,2.0,25000.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,26334.0,Kaggle_EgyTech_participants_data
full-stack engineer,6.0,35000.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,10000.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,15250.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,10000.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,14000.0,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,3.0,21000.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,27000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,21110.0,Kaggle_EgyTech_participants_data
full-stack engineer,3.0,39500.0,Kaggle_EgyTech_participants_data
devops / sre / platform,7.0,65000.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,38400.0,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,7.0,71850.0,Kaggle_EgyTech_participants_data
backend engineer,4.0,64000.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,10200.0,Kaggle_EgyTech_participants_data
data analytics,6.0,86220.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,5000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,54000.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,20000.0,Kaggle_EgyTech_participants_data
"r&d engineer (computer vision, nlp, etc.)",1.0,16000.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,16900.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,21116.0,Kaggle_EgyTech_participants_data
product manager,10.0,60000.0,Kaggle_EgyTech_participants_data
frontend engineer,0.0,8000.0,Kaggle_EgyTech_participants_data
