job_title_clean,salary_target,experience_years_clean,location_clean,work_mode_clean,level_clean
ai engineer,13000.0,0.0,"Amman, Jordan",Hybrid,Unknown
software development engineer in test,30000.0,0.0,Greater Cairo,Hybrid,Unknown
frontend developer,8000.0,2.0,Greater Cairo,Hybrid,Unknown
software engineering lead,60000.0,8.0,Greater Cairo,Hybrid,Lead/Manager
integration developer,15000.0,0.0,Greater Cairo,Remote,Unknown
software testing,10000.0,1.0,Unknown,Remote,Unknown
oracle dba,15000.0,1.0,Greater Cairo,Hybrid,Unknown
python developer,85000.0,3.0,"Illinois, Usa",Remote,Unknown
business intelligence developer,60000.0,4.0,Greater Cairo,Hybrid,Unknown
frontend engineer,150000.0,6.0,Usa,Remote,Unknown
crm developer,45000.0,0.0,"London, England",Remote,Unknown
frontend developer,14500.0,0.6000000000000001,Greater Cairo,Remote,Unknown
data integration,14000.0,2.0,Unknown,Hybrid,Unknown
flutter developer,9000.0,1.0,Alexandria,On-Site,Unknown
data analyst,0.0,0.0,Greater Cairo,On-Site,Unknown
mern stack,55000.0,3.0,Greater Cairo,Remote,Unknown
nodejs developer,14000.0,1.0,Greater Cairo,On-Site,Unknown
data scientist,10000.0,0.0,Greater Cairo,Remote,Unknown
full stack (java & react),15000.0,0.2,Greater Cairo,Hybrid,Unknown
erp developer,8000.0,0.0,Greater Cairo,Hybrid,Unknown
flutter developer,4000.0,0.6,Dubai,Remote,Unknown
backend developer,36000.0,0.8,Riyadh,Remote,Unknown
flutter developer,8000.0,1.0,Greater Cairo,Hybrid,Unknown
java developer,10000.0,0.0,Greater Cairo,On-Site,Unknown
frontend developer ( vue.js ),30000.0,3.0,Unknown,Remote,Unknown
data analyst,12000.0,1.0,Greater Cairo,On-Site,Unknown
data analyst,12000.0,1.0,"Jedah, Saudi Arabia",Remote,Unknown
frontend developer,47500.0,2.5,Unknown,Remote,Unknown
java developer,16000.0,0.0,Assuit,On-Site,Unknown
software developer,10000.0,1.0,Greater Cairo,On-Site,Unknown
bi developer,13500.0,0.3,Greater Cairo,On-Site,Unknown
bi developer,22000.0,1.3,Greater Cairo,Remote,Unknown
machine learning engineer,23000.0,0.0,Greater Cairo,On-Site,Unknown
.net,56440.0,6.0,Dubai,On-Site,Unknown
data analyst,5000.0,2.0,Mansoura,On-Site,Unknown
.net developer,16000.0,1.0,6 October,Hybrid,Unknown
software engineer (backend java),12000.0,1.0,Greater Cairo,On-Site,Unknown
.net full stack,15000.0,1.0,Alexandria,Hybrid,Unknown
.net developer,10000.0,0.0,Greater Cairo,On-Site,Unknown
data governance engineer,14000.0,0.3,Greater Cairo,Hybrid,Unknown
bi developer,10600.0,1.5,Alexandria,On-Site,Unknown
.net developer,10000.0,1.0,Mansoura,On-Site,Unknown
php developer,15000.0,5.0,Greater Cairo,Hybrid,Unknown
software developer,15000.0,0.8,Greater Cairo,Hybrid,Unknown
