job_title_clean,salary_target,experience_years_clean,location_clean,work_mode_clean,level_clean,job_title_standardized
back end engineer,27000.0,2.5,Unknown,Unknown,Mid-Level,back end engineer
front end engineer,51000.0,1.5,Unknown,Unknown,Mid-Level,front end engineer
back end engineer,8000.0,0.5,Unknown,Unknown,Junior,back end engineer
full stack engineer,55000.0,2.5,Unknown,Unknown,Mid-Level,full stack engineer
"tester (manual, automation, api, selenium, playwright, ect..)",40000.0,2.5,Unknown,Unknown,Mid-Level,software testing engineer
"tester (manual, automation, api, selenium, playwright, ect..)",35000.0,2.5,Unknown,Unknown,Mid-Level,software testing engineer
full stack engineer,52500.0,1.5,Unknown,Unknown,Mid-Level,full stack engineer
back end engineer,15900.0,6.0,Unknown,Unknown,Mid-Level,back end engineer
front end engineer,41480.0,1.5,Unknown,Unknown,Junior,front end engineer
back end engineer,14000.0,1.5,Unknown,Unknown,Junior,back end engineer
front end engineer,27500.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
back end engineer,31000.0,2.5,Unknown,Unknown,Mid-Level,back end engineer
full stack engineer,40000.0,6.0,Unknown,Unknown,Mid-Level,full stack engineer
front end engineer,32500.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,74000.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
back end engineer,16000.0,2.5,Unknown,Unknown,Junior,back end engineer
"tester (manual, automation, api, selenium, playwright, ect..)",88000.0,7.0,Unknown,Unknown,Senior,software testing engineer
back end engineer,140000.0,6.0,Unknown,Unknown,Senior,back end engineer
front end engineer,40000.0,1.5,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,30000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
full stack engineer,60000.0,4.0,Unknown,Unknown,Senior,full stack engineer
back end engineer,35000.0,6.0,Unknown,Unknown,Senior,back end engineer
front end engineer,160000.0,6.0,Unknown,Unknown,Senior,front end engineer
front end engineer,68000.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
back end engineer,10000.0,1.5,Unknown,Unknown,Junior,back end engineer
front end engineer,45000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
full stack engineer,10000.0,4.0,Unknown,Unknown,Mid-Level,full stack engineer
front end engineer,30000.0,1.5,Unknown,Unknown,Junior,front end engineer
full stack engineer,40000.0,4.0,Unknown,Unknown,Mid-Level,full stack engineer
front end engineer,56000.0,6.0,Unknown,Unknown,Senior,front end engineer
full stack engineer,40000.0,2.5,Unknown,Unknown,Mid-Level,full stack engineer
full stack engineer,35000.0,2.5,Unknown,Unknown,Mid-Level,full stack engineer
"tester (manual, automation, api, selenium, playwright, ect..)",75000.0,4.0,Unknown,Unknown,Senior,software testing engineer
back end engineer,50000.0,1.5,Unknown,Unknown,Senior,back end engineer
full stack engineer,23000.0,2.5,Unknown,Unknown,Junior,full stack engineer
full stack engineer,45000.0,1.5,Unknown,Unknown,Junior,full stack engineer
back end engineer,155000.0,6.0,Unknown,Unknown,Lead/Manager,back end engineer
full stack engineer,25000.0,2.5,Unknown,Unknown,Mid-Level,full stack engineer
full stack engineer,14300.0,0.5,Unknown,Unknown,Junior,full stack engineer
"tester (manual, automation, api, selenium, playwright, ect..)",4000.0,0.5,Unknown,Unknown,Junior,software testing engineer
full stack engineer,119625.0,4.0,Unknown,Unknown,Senior,full stack engineer
full stack engineer,27500.0,4.0,Unknown,Unknown,Senior,full stack engineer
full stack engineer,30000.0,2.5,Unknown,Unknown,Mid-Level,full stack engineer
front end engineer,7500.0,1.5,Unknown,Unknown,Junior,front end engineer
