job_title,experience_years,salary_original,currency_detected,salary_mid,work_mode,city,source_name
full stack developer,2.0,95000,EGP,95000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack developer,2.0,16000,EGP,16000.0,Hybird,Mansoura,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack developer,3.0,46000,EGP,46000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack developer,2.0,23000,EGP,23000.0,Hybird,Ksa,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack developer,1.0,11000,EGP,11000.0,On Site,Alexandria,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack developer,3.0,146000,EGP,146000.0,On Site,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack developer,0.0,5000,EGP,5000.0,On Site,Tanta,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack developer,8.0,7000,EGP,7000.0,Remotley,Alexandria,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack developer,2.0,19000,EGP,19000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack developer,7.0,42000,EGP,42000.0,Remotley,Kuwait,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack developer,3.0,54000,EGP,54000.0,Remotley,Riyadh,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack developer,3.0,23500,EGP,23500.0,Remotley,California,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack developer,2.0,15000,EGP,15000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack developer,6.0,30000,EGP,30000.0,Remotley,un-known,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack developer .net & angular,2.0,39000,EGP,39000.0,Remotley,Ksa,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack developer python,1.0,8000,EGP,8000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack java,6.0,22000,EGP,22000.0,Hybird,"Giza, Smart Village",Kaggle_Web_Developers_Salaries_Egypt_2024
full stack node angular,2.0,16000,EGP,16000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack node js developer,1.0,8000,EGP,8000.0,Remotley,California And Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack python and react,0.0,15000,EGP,15000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack web developer . net & angular,3.0,23500,EGP,23500.0,On Site,Maadi,Kaggle_Web_Developers_Salaries_Egypt_2024
full stack(.net+ angular),2.0,15000,EGP,15000.0,Remotley,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
"full-stack (.net, react)",6.0,60000,EGP,60000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
full-stack developer,2.0,25000,EGP,25000.0,Hybird,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
full-stack developer,1.0,14000,EGP,14000.0,On Site,Cairo,Kaggle_Web_Developers_Salaries_Egypt_2024
full-stack developer,2.0,15000,EGP,15000.0,Remotley,un-known,Kaggle_Web_Developers_Salaries_Egypt_2024
full-stack developer (.net-angular),10.0,50000,EGP,50000.0,Hybird,Ksa,Kaggle_Web_Developers_Salaries_Egypt_2024
