job_title,experience_years,salary_mid,work_mode,city,salary_date,source_name
data engineer,5.0,77000.0,Hybrid,Cairo,2024-04-02 12:37:12,Kaggle_EgyTech_participants_data
frontend engineer,7.0,114145.7,Hybrid,Cairo,2024-04-02 12:39:11,Kaggle_EgyTech_participants_data
backend engineer,1.0,5000.0,Remote/Egypt,Cairo,2024-04-02 12:39:34,Kaggle_EgyTech_participants_data
frontend engineer,2.0,12000.0,Remote/Egypt,Cairo,2024-04-02 12:40:03,Kaggle_EgyTech_participants_data
embedded systems engineer,12.0,35000.0,Office,Cairo,2024-04-02 12:40:04,Kaggle_EgyTech_participants_data
frontend engineer,3.0,68740.0,Hybrid,Cairo,2024-04-02 12:40:09,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,64981.14,Remote/Egypt,Cairo,2024-04-02 12:41:09,Kaggle_EgyTech_participants_data
frontend engineer,0.0,8000.0,Remote/Egypt,Cairo,2024-04-02 12:41:13,Kaggle_EgyTech_participants_data
mobile development engineer,6.0,75000.0,Remote/Egypt,Cairo,2024-04-02 12:42:02,Kaggle_EgyTech_participants_data
data scientist,0.0,30000.0,Remote/Egypt,Cairo,2024-04-02 12:42:59,Kaggle_EgyTech_participants_data
product owner,3.0,25000.0,Office,Cairo,2024-04-02 12:46:01,Kaggle_EgyTech_participants_data
systems architect,9.0,123000.0,Hybrid,Cairo,2024-04-02 12:48:57,Kaggle_EgyTech_participants_data
backend engineer,3.0,20000.0,Remote/Egypt,Cairo,2024-04-02 12:49:15,Kaggle_EgyTech_participants_data
qa / sdet engineer,2.0,37000.0,Hybrid,Cairo,2024-04-02 12:49:23,Kaggle_EgyTech_participants_data
backend engineer,1.0,14670.0,Hybrid,Alexandria,2024-04-02 12:49:35,Kaggle_EgyTech_participants_data
backend engineer,2.0,42000.0,Hybrid,Cairo,2024-04-02 12:51:20,Kaggle_EgyTech_participants_data
mobile development engineer,4.0,21000.0,Hybrid,Cairo,2024-04-02 12:52:23,Kaggle_EgyTech_participants_data
embedded systems engineer,3.0,55000.0,Hybrid,Cairo,2024-04-02 12:52:35,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,30000.0,Remote/Egypt,Alexandria,2024-04-02 12:54:24,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,25000.0,Hybrid,Cairo,2024-04-02 12:54:45,Kaggle_EgyTech_participants_data
data engineer,5.0,46200.0,Hybrid,Cairo,2024-04-02 12:56:13,Kaggle_EgyTech_participants_data
backend engineer,1.0,17000.0,Remote/Egypt,Cairo,2024-04-02 12:56:56,Kaggle_EgyTech_participants_data
product owner,6.0,81430.0,Hybrid,Cairo,2024-04-02 12:57:31,Kaggle_EgyTech_participants_data
backend engineer,4.0,32000.0,Remote/Egypt,Cairo,2024-04-02 12:58:44,Kaggle_EgyTech_participants_data
full-stack engineer,4.0,28000.0,Office,Cairo,2024-04-02 13:00:22,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,66000.0,Hybrid,Cairo,2024-04-02 13:02:08,Kaggle_EgyTech_participants_data
devops / sre / platform,2.0,16500.0,Office,Cairo,2024-04-02 13:04:06,Kaggle_EgyTech_participants_data
mobile development engineer,5.0,48000.0,Hybrid,Cairo,2024-04-02 13:08:16,Kaggle_EgyTech_participants_data
embedded systems engineer,10.0,154200.0,Hybrid,Cairo,2024-04-02 13:08:51,Kaggle_EgyTech_participants_data
ai & automation engineer,1.0,13000.0,Hybrid,Cairo,2024-04-02 13:12:07,Kaggle_EgyTech_participants_data
security/network engineer,1.0,22500.0,Hybrid,Cairo,2024-04-02 13:14:41,Kaggle_EgyTech_participants_data
systems architect,8.0,70000.0,Remote/Egypt,Cairo,2024-04-02 13:15:53,Kaggle_EgyTech_participants_data
data analytics,3.0,52690.0,Hybrid,Cairo,2024-04-02 13:16:05,Kaggle_EgyTech_participants_data
frontend engineer,1.0,10000.0,Remote/Egypt,Cairo,2024-04-02 13:16:20,Kaggle_EgyTech_participants_data
backend engineer,1.0,16150.0,Office,Cairo,2024-04-02 13:16:58,Kaggle_EgyTech_participants_data
