job_title,experience_years,salary_original,currency_detected,salary_original_numeric,salary_mid,work_mode,city,salary_date,source_name
nodejs developer,1.0,14000,EGP,14000.0,14000.0,On Site,Giza,2024-02-01,Kaggle_egyptian_salaries_2024
data scientist,0.0,10000,EGP,10000.0,10000.0,Remotley,cairo,2024-02-29,Kaggle_egyptian_salaries_2024
full stack (java & react),1.0,15000,EGP,15000.0,15000.0,Hybird,Cairo,2023-06-15,Kaggle_egyptian_salaries_2024
erp developer,0.0,8000,EGP,8000.0,8000.0,Hybird,Cairo,2024-02-01,Kaggle_egyptian_salaries_2024
flutter developer,0.6,4000,EGP,4000.0,4000.0,Remotley,dubai,2024-02-21,Kaggle_egyptian_salaries_2024
backend developer,0.67,36000,EGP,36000.0,36000.0,Remotley,Riyadh,2023-09-01,Kaggle_egyptian_salaries_2024
flutter developer,1.0,8000,EGP,8000.0,8000.0,Hybird,Cairo,2024-02-27,Kaggle_egyptian_salaries_2024
java,0.0,10000,EGP,10000.0,10000.0,On Site,Cairo,2023-09-17,Kaggle_egyptian_salaries_2024
frontend developer ( vue.js ),3.0,600$,USD,600.0,30000.0,Remotley,,2023-12-20,Kaggle_egyptian_salaries_2024
data analyst,1.0,12000,EGP,12000.0,12000.0,On Site,Cairo,2023-06-01,Kaggle_egyptian_salaries_2024
data analyst,1.0,12000,EGP,12000.0,12000.0,Remotley,"Jedah, Saudi Arabia",2024-02-01,Kaggle_egyptian_salaries_2024
frontend developer,2.5,950 USD,USD,950.0,47500.0,Remotley,,2024-02-20,Kaggle_egyptian_salaries_2024
java developer,0.0,16000,EGP,16000.0,16000.0,On Site,Assuit,2023-12-03,Kaggle_egyptian_salaries_2024
software developer,1.0,10000,EGP,10000.0,10000.0,On Site,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
bi developer,0.3,13.5,EGP,13.5,13.5,On Site,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
bi developer,1.3,22000,EGP,22000.0,22000.0,Remotley,cairo,2024-02-20,Kaggle_egyptian_salaries_2024
machine learning engineer,0.0,23000,EGP,23000.0,23000.0,On Site,Cairo,2023-11-01,Kaggle_egyptian_salaries_2024
senior dot net,6.0,4150 AED ,AED,4150.0,53950.0,On Site,Dubai,2024-02-20,Kaggle_egyptian_salaries_2024
data analyst,2.0,5000,EGP,5000.0,5000.0,On Site,Mansoura,2023-05-01,Kaggle_egyptian_salaries_2024
.net developer,1.0,16000,EGP,16000.0,16000.0,Hybird,6 October,2024-01-04,Kaggle_egyptian_salaries_2024
software engineer (backend java),1.0,12000,EGP,12000.0,12000.0,On Site,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
.net full stack,1.0,15 k,EGP,15000.0,15000.0,Hybird,Alexandria,2024-01-01,Kaggle_egyptian_salaries_2024
data governance engineer,0.25,14000,EGP,14000.0,14000.0,Hybird,Cairo,2024-02-01,Kaggle_egyptian_salaries_2024
bi developer,1.5,10600,EGP,10600.0,10600.0,On Site,Alexandria,2024-01-25,Kaggle_egyptian_salaries_2024
.net developer,1.0,10000,EGP,10000.0,10000.0,On Site,Mansoura,2023-04-16,Kaggle_egyptian_salaries_2024
php developer,5.0,15000,EGP,15000.0,15000.0,Hybird,cairo,2024-02-01,Kaggle_egyptian_salaries_2024
software developer,0.67,15k,EGP,15000.0,15000.0,Hybird,Cairo,2023-08-01,Kaggle_egyptian_salaries_2024
