Title,Company,Location,Salary,Experience,Job_Type,Skills,URL
Engineer Testing & Commissioning,Alfanar Projects,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Computer Science,https://wuzzuf.net/saudi/jobs/p/g/hrjwve3i5hcw-engineer-testing-commissioning-alfanar-projects-riyadh-saudi-arabia
Senior Electrical Procurement Engineer,Concrete Plus,"New Cairo, Cairo",Confidential,5 To 7 Years,N/A,Communication,https://wuzzuf.net/jobs/p/lfuonrjfbkko-senior-electrical-procurement-engineer-concrete-plus-cairo-egypt
Senior Windows Web Hosting Engineer,Dimofinf Operations Center,"Nasr City, Cairo",Confidential,More Than 3 Years,N/A,Windows Server Administration,https://wuzzuf.net/jobs/p/bkjwulvt40in-senior-windows-web-hosting-engineer-dimofinf-operations-center-cairo-egypt
Senior Finance Process Consultant (Remote),Jobgether,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Accounting,https://wuzzuf.net/jobs/p/g/dcnhtje7cfq6-senior-finance-process-consultant-remote-jobgether-dubai-united-arab-emirates
Specification Engineer - Manager - UAE & Oman,Eaton,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Engineering,https://wuzzuf.net/jobs/p/g/mwllj5ibqjlv-specification-engineer-manager-uae-oman-eaton-dubai-united-arab-emirates
Facility Admin,Elsewedy industries,"New Cairo, Cairo",Confidential,1 To 4 Years,N/A,Facility Management,https://wuzzuf.net/jobs/p/q9odxr4om6sa-facility-admin-elsewedy-industries-cairo-egypt
Electrical Technical Office Engineer-PV,Saudi-firmness,"القطامية, القاهرة",Confidential,3 To 5 Years,N/A,Electrical Design,https://wuzzuf.net/jobs/p/p7mokhgi4fsb-electrical-technical-office-engineer-pv-saudi-firmness-cairo-egypt
Quality Process Engineer,Eaton,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Quality Control,https://wuzzuf.net/jobs/p/g/ymcvheftjqta-quality-process-engineer-eaton-dubai-united-arab-emirates
Testing and Commissioning Engineer,Energy Job Search,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/jobs/p/g/y77uzbw3w23i-testing-and-commissioning-engineer-energy-job-search-dubai-united-arab-emirates
Senior Account Specialist [Sales],Envision Employment Solutions,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Sales,https://wuzzuf.net/saudi/jobs/p/g/zneqntad8phu-senior-account-specialist-sales-envision-employment-solutions-riyadh-saudi-arabia
Senior Civil Engineer,AtkinsRéalis,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Engineering,https://wuzzuf.net/saudi/jobs/p/g/b4pgnkk1zpqw-senior-civil-engineer-atkinsrealis-riyadh-saudi-arabia
Rock and Geological Engineer,AECOM,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,computer science,https://wuzzuf.net/jobs/p/g/coguabnnh3ix-rock-and-geological-engineer-aecom-dubai-united-arab-emirates
"Clinical Research Associate - Maseeraty Graduate Program, UAE",Novartis,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Research,https://wuzzuf.net/jobs/p/g/huwzzewrpkrg-clinical-research-associate-maseeraty-graduate-program-uae-novartis-dubai-united-arab-emirates
Enterprise Data Architect,Frameworks and Methodologies Businesses (FMB),"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/zbttgedt5ean-enterprise-data-architect-frameworks-and-methodologies-businesses-fmb-riyadh-saudi-arabia
Technical Office Engineer,Egypto Group,"Heliopolis, Cairo",Confidential,5 To 9 Years,N/A,Project coordination,https://wuzzuf.net/jobs/p/ebljhqww0gtz-technical-office-engineer-egypto-group-cairo-egypt
Customer Service Representative (Remote),PULSE-MEDIA,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Customer Service,https://wuzzuf.net/saudi/jobs/p/g/ijq8wltckpcs-customer-service-representative-remote-pulse-media-riyadh-saudi-arabia
Production Planning Section Head,El Mohandess Print House,"10th of Ramadan City, Sharqia",Confidential,7 To 12 Years,N/A,Production Planning,https://wuzzuf.net/jobs/p/dzv3sza6wihh-production-planning-section-head-el-mohandess-print-house-sharqia-egypt
Corp/Government Advisor,Lucid Motors Middle East,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,information technology (it),https://wuzzuf.net/saudi/jobs/p/g/ix1wcoxmbmxl-corpgovernment-advisor-lucid-motors-middle-east-riyadh-saudi-arabia
Sr. Commissioning Electrical Engineer,Energy Job Search,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Electrical Engineering,https://wuzzuf.net/saudi/jobs/p/g/ib4qww48obaj-sr-commissioning-electrical-engineer-energy-job-search-riyadh-saudi-arabia
Engineer - Smart City,AECOM,"Makkah, Saudi Arabia",Confidential,Not Specified,N/A,Engineering,https://wuzzuf.net/saudi/jobs/p/g/pezrrfi01qjv-engineer-smart-city-aecom-makkah-saudi-arabia
Business Development Intern,Mnzil | منزل,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Business Development,https://wuzzuf.net/saudi/jobs/p/g/og74iqckpdig-business-development-intern-mnzil-mnzl-riyadh-saudi-arabia
Production Engineering,New Mena Plast,"Obour City, Cairo",Confidential,0 To 3 Years,N/A,Production Process Optimization,https://wuzzuf.net/jobs/p/uzas1wbpghff-production-engineering-new-mena-plast-cairo-egypt
Intune Support Engineer,Techmahindra,"6th of October, Giza",Confidential,2 To 5 Years,N/A,SCCM,https://wuzzuf.net/jobs/p/32v8bdl1wsea-intune-support-engineer-techmahindra-giza-egypt
Civil Site Engineer,Iskefe Nile For Leather Manufacturing and Trade,"10th of Ramadan City, Cairo",Confidential,5 To 8 Years,N/A,Site supervision,https://wuzzuf.net/jobs/p/isesfwn8ifst-civil-site-engineer-iskefe-nile-for-leather-manufacturing-and-trade-cairo-egypt
Senior Planning Engineer,Energy Job Search,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Engineering,https://wuzzuf.net/jobs/p/g/jhxkbyev43zh-senior-planning-engineer-energy-job-search-dubai-united-arab-emirates
HR Analyst (6-Month Contract),CBRE,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Human Resources (HR),https://wuzzuf.net/jobs/p/g/7hgc8e7kvbv3-hr-analyst-6-month-contract-cbre-dubai-united-arab-emirates
Research And Development Engineer,El Abd Group,"6th of October, Giza",10000 To 15000 EGP,3 To 7 Years,N/A,Product Development,https://wuzzuf.net/jobs/p/kwr9luu18qbg-research-and-development-engineer-el-abd-group-giza-egypt
Mechanical BIM Engineer,Estithmar Holding,"New Cairo, Cairo",Confidential,More Than 3 Years,N/A,BIM,https://wuzzuf.net/jobs/p/igsatinyemw4-mechanical-bim-engineer-estithmar-holding-cairo-egypt
Mechanical Engineer,The Egyptian Co. for Electrical Industries,"10th of Ramadan City, Cairo",Confidential,0 To 2 Years,N/A,Mechanical Engineering,https://wuzzuf.net/jobs/p/4nn6ksvmkwla-mechanical-engineer-the-egyptian-co-for-electrical-industries-cairo-egypt
HSE Engineer,Al Rabat,"New Cairo, Cairo",Confidential,2 To 5 Years,N/A,Health and Safety Management,https://wuzzuf.net/jobs/p/s7pgtmm7i1a3-hse-engineer-al-rabat-cairo-egypt
"Production and Maintenance Engineer vacancy in 6th of October, Giza",N/A,N/A,Confidential,5 To 10 Years,N/A,Manufacturing,https://wuzzuf.net/jobs/p/vr36sshm1pon-production-and-maintenance-engineer-giza-egypt
Network And Security Engineer,Eagle Chemicals,"6th of October, Giza",Confidential,More Than 2 Years,N/A,Cybersecurity,https://wuzzuf.net/jobs/p/4zigmphffnid-network-and-security-engineer-eagle-chemicals-giza-egypt
Technical Office Engineer - Remotely,ENAYA CARE INTERNATIONAL COMPANY FOR BEAUTY & COMFORT,"Cairo, Egypt",Confidential,3 To 5 Years,N/A,Technical Office Engineering,https://wuzzuf.net/jobs/p/a2uydratsyvo-technical-office-engineer-remotely-enaya-care-international-company-for-beauty-comfort-cairo-egypt
Technical Office Architect,ASC for Construction and Engineering,"Nasr City, Cairo",Confidential,3 To 4 Years,N/A,Architectural Design,https://wuzzuf.net/jobs/p/usrwqezvmtfc-technical-office-architect-asc-for-construction-and-engineering-cairo-egypt
Road Transport Engineer,Petromin,"Maadi, Cairo",Confidential,3 To 5 Years,N/A,Road Design,https://wuzzuf.net/jobs/p/ullr5rdhovwd-road-transport-engineer-petromin-cairo-egypt
Senior Civil Site Engineer,RITZY Developments,"Obour City, Cairo",Confidential,6 To 10 Years,N/A,Civil Engineering,https://wuzzuf.net/jobs/p/b2z659bsp7t9-senior-civil-site-engineer-ritzy-developments-cairo-egypt
Junior Salesforce Consultant,Amreyah Cement,"Cairo, Egypt",Confidential,1 To 2 Years,N/A,Salesforce Administration,https://wuzzuf.net/jobs/p/onjto9twv9ug-junior-salesforce-consultant-amreyah-cement-cairo-egypt
Planning Supervisor,Pyramid Poultry,"10th of Ramadan City, Sharqia",Confidential,More Than 5 Years,N/A,Production Planning,https://wuzzuf.net/jobs/p/b5usm7tqqzk9-planning-supervisor-pyramid-poultry-sharqia-egypt
Senior Research and development Specialist,French for food industries,"Cairo, Egypt",Confidential,2 To 5 Years,N/A,Quality Assurance,https://wuzzuf.net/jobs/p/qqajtwm1blyz-senior-research-and-development-specialist-french-for-food-industries-cairo-egypt
Maintenance Engineer,Egypt Gold,"العبور, القاهرة",Confidential,2 To 4 Years,N/A,Preventive Maintenance,https://wuzzuf.net/jobs/p/hok9gsekzgte-maintenance-engineer-egypt-gold-cairo-egypt
Project Engineer - Factory (1 Year Contract),Unilever,"Makkah, Saudi Arabia",Confidential,Not Specified,N/A,Project Management,https://wuzzuf.net/saudi/jobs/p/g/nyip16qrwimg-project-engineer-factory-1-year-contract-unilever-makkah-saudi-arabia
Fresh graduated Civil engineer (UAE National),Saipem,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Engineering,https://wuzzuf.net/jobs/p/g/dosoljnfp032-fresh-graduated-civil-engineer-uae-national-saipem-dubai-united-arab-emirates
Testing & Commissioning Engineers (Transmission Line 220kV & Above) | KSA,Energy Job Search,"الرياض, المملكة العربية السعودية",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/vzwh7a0j9hdq-testing-commissioning-engineers-transmission-line-220kv-above-ksa-energy-job-search-riyadh-saudi-arabia
Supply planner-Alexandria,Egyptian Abrasives Co.,"Bab Sharq, Alexandria",Confidential,3 To 4 Years,N/A,Planning,https://wuzzuf.net/jobs/p/jjkmcucvxqvt-supply-planner-alexandria-egyptian-abrasives-co-alexandria-egypt
Civil Engineer - Technical Office,Matrix Engineering,"Heliopolis, Cairo",Confidential,3 To 5 Years,N/A,Civil Engineering,https://wuzzuf.net/jobs/p/ta0mty28z5de-civil-engineer-technical-office-matrix-engineering-cairo-egypt
